Brand,Device Type,Generation,Model,Repair Type,Quality Tier,Price,Notes
Apple,iPhone,iPhone Air,iPhone Air,Screen Repair,OEM,329,Apple out-of-warranty pricing
Apple,iPhone,iPhone Air,iPhone Air,Screen Repair,Premium,247,75% of Apple price (25% reduction)
Apple,iPhone,iPhone Air,iPhone Air,Screen Repair,Economy,220,67% of Apple price (33% reduction)
Apple,iPhone,iPhone Air,iPhone Air,Battery Replacement,OEM,119,Apple out-of-warranty pricing
Apple,iPhone,iPhone Air,iPhone Air,Battery Replacement,Premium,89,75% of Apple price (25% reduction)
Apple,iPhone,iPhone Air,iPhone Air,Battery Replacement,Economy,80,67% of Apple price (33% reduction)
Apple,iPhone,iPhone Air,iPhone Air,Back Glass,Single,159,Single pricing
Apple,iPhone,iPhone Air,iPhone Air,Screen & Back Glass,Single,429,Single pricing
Apple,iPhone,iPhone Air,iPhone Air,Rear Camera Module,Single,169,Single pricing
Apple,iPhone,iPhone Air,iPhone Air,Rear Camera Glass,Single,149,Single pricing
Apple,iPhone,iPhone Air,iPhone Air,Charger Port Repair,Single,179,Single pricing
Apple,iPhone,iPhone Air,iPhone Air,Charger Port Cleaning,Single,49,Single pricing
Apple,iPhone,17 Series,iPhone 17 Pro Max,Screen Repair,OEM,379,Apple out-of-warranty pricing
Apple,iPhone,17 Series,iPhone 17 Pro Max,Screen Repair,Premium,284,75% of Apple price (25% reduction)
Apple,iPhone,17 Series,iPhone 17 Pro Max,Screen Repair,Economy,254,67% of Apple price (33% reduction)
Apple,iPhone,17 Series,iPhone 17 Pro Max,Battery Replacement,OEM,119,Apple out-of-warranty pricing
Apple,iPhone,17 Series,iPhone 17 Pro Max,Battery Replacement,Premium,89,75% of Apple price (25% reduction)
Apple,iPhone,17 Series,iPhone 17 Pro Max,Battery Replacement,Economy,80,67% of Apple price (33% reduction)
Apple,iPhone,17 Series,iPhone 17 Pro Max,Back Glass,Single,159,Single pricing
Apple,iPhone,17 Series,iPhone 17 Pro Max,Screen & Back Glass,Single,479,Single pricing
Apple,iPhone,17 Series,iPhone 17 Pro Max,Rear Camera Module,Single,249,Single pricing
Apple,iPhone,17 Series,iPhone 17 Pro Max,Rear Camera Glass,Single,149,Single pricing
Apple,iPhone,17 Series,iPhone 17 Pro Max,Charger Port Repair,Single,179,Single pricing
Apple,iPhone,17 Series,iPhone 17 Pro Max,Charger Port Cleaning,Single,49,Single pricing
Apple,iPhone,17 Series,iPhone 17 Pro,Screen Repair,OEM,329,Apple out-of-warranty pricing
Apple,iPhone,17 Series,iPhone 17 Pro,Screen Repair,Premium,247,75% of Apple price (25% reduction)
Apple,iPhone,17 Series,iPhone 17 Pro,Screen Repair,Economy,220,67% of Apple price (33% reduction)
Apple,iPhone,17 Series,iPhone 17 Pro,Battery Replacement,OEM,119,Apple out-of-warranty pricing
Apple,iPhone,17 Series,iPhone 17 Pro,Battery Replacement,Premium,89,75% of Apple price (25% reduction)
Apple,iPhone,17 Series,iPhone 17 Pro,Battery Replacement,Economy,80,67% of Apple price (33% reduction)
Apple,iPhone,17 Series,iPhone 17 Pro,Back Glass,Single,159,Single pricing
Apple,iPhone,17 Series,iPhone 17 Pro,Screen & Back Glass,Single,429,Single pricing
Apple,iPhone,17 Series,iPhone 17 Pro,Rear Camera Module,Single,249,Single pricing
Apple,iPhone,17 Series,iPhone 17 Pro,Rear Camera Glass,Single,149,Single pricing
Apple,iPhone,17 Series,iPhone 17 Pro,Charger Port Repair,Single,179,Single pricing
Apple,iPhone,17 Series,iPhone 17 Pro,Charger Port Cleaning,Single,49,Single pricing
Apple,iPhone,17 Series,iPhone 17,Screen Repair,OEM,329,Apple out-of-warranty pricing
Apple,iPhone,17 Series,iPhone 17,Screen Repair,Premium,247,75% of Apple price (25% reduction)
Apple,iPhone,17 Series,iPhone 17,Screen Repair,Economy,220,67% of Apple price (33% reduction)
Apple,iPhone,17 Series,iPhone 17,Battery Replacement,OEM,99,Apple out-of-warranty pricing
Apple,iPhone,17 Series,iPhone 17,Battery Replacement,Premium,74,75% of Apple price (25% reduction)
Apple,iPhone,17 Series,iPhone 17,Battery Replacement,Economy,66,67% of Apple price (33% reduction)
Apple,iPhone,17 Series,iPhone 17,Back Glass,Single,159,Single pricing
Apple,iPhone,17 Series,iPhone 17,Screen & Back Glass,Single,429,Single pricing
Apple,iPhone,17 Series,iPhone 17,Rear Camera Module,Single,229,Single pricing
Apple,iPhone,17 Series,iPhone 17,Rear Camera Glass,Single,149,Single pricing
Apple,iPhone,17 Series,iPhone 17,Charger Port Repair,Single,179,Single pricing
Apple,iPhone,17 Series,iPhone 17,Charger Port Cleaning,Single,49,Single pricing
Apple,iPhone,16 Series,iPhone 16 Pro Max,Screen Repair,OEM,379,Apple out-of-warranty pricing
Apple,iPhone,16 Series,iPhone 16 Pro Max,Screen Repair,Premium,284,75% of Apple price (25% reduction)
Apple,iPhone,16 Series,iPhone 16 Pro Max,Screen Repair,Economy,254,67% of Apple price (33% reduction)
Apple,iPhone,16 Series,iPhone 16 Pro Max,Battery Replacement,OEM,119,Apple out-of-warranty pricing
Apple,iPhone,16 Series,iPhone 16 Pro Max,Battery Replacement,Premium,89,75% of Apple price (25% reduction)
Apple,iPhone,16 Series,iPhone 16 Pro Max,Battery Replacement,Economy,80,67% of Apple price (33% reduction)
Apple,iPhone,16 Series,iPhone 16 Pro Max,Back Glass,Single,159,Single pricing
Apple,iPhone,16 Series,iPhone 16 Pro Max,Screen & Back Glass,Single,479,Single pricing
Apple,iPhone,16 Series,iPhone 16 Pro Max,Rear Camera Module,Single,229,Single pricing
Apple,iPhone,16 Series,iPhone 16 Pro Max,Rear Camera Glass,Single,149,Single pricing
Apple,iPhone,16 Series,iPhone 16 Pro Max,Charger Port Repair,Single,179,Single pricing
Apple,iPhone,16 Series,iPhone 16 Pro Max,Charger Port Cleaning,Single,49,Single pricing
Apple,iPhone,16 Series,iPhone 16 Pro,Screen Repair,OEM,329,Apple out-of-warranty pricing
Apple,iPhone,16 Series,iPhone 16 Pro,Screen Repair,Premium,247,75% of Apple price (25% reduction)
Apple,iPhone,16 Series,iPhone 16 Pro,Screen Repair,Economy,220,67% of Apple price (33% reduction)
Apple,iPhone,16 Series,iPhone 16 Pro,Battery Replacement,OEM,119,Apple out-of-warranty pricing
Apple,iPhone,16 Series,iPhone 16 Pro,Battery Replacement,Premium,89,75% of Apple price (25% reduction)
Apple,iPhone,16 Series,iPhone 16 Pro,Battery Replacement,Economy,80,67% of Apple price (33% reduction)
Apple,iPhone,16 Series,iPhone 16 Pro,Back Glass,Single,159,Single pricing
Apple,iPhone,16 Series,iPhone 16 Pro,Screen & Back Glass,Single,429,Single pricing
Apple,iPhone,16 Series,iPhone 16 Pro,Rear Camera Module,Single,229,Single pricing
Apple,iPhone,16 Series,iPhone 16 Pro,Rear Camera Glass,Single,149,Single pricing
Apple,iPhone,16 Series,iPhone 16 Pro,Charger Port Repair,Single,179,Single pricing
Apple,iPhone,16 Series,iPhone 16 Pro,Charger Port Cleaning,Single,49,Single pricing
Apple,iPhone,16 Series,iPhone 16 Plus,Screen Repair,OEM,329,Apple out-of-warranty pricing
Apple,iPhone,16 Series,iPhone 16 Plus,Screen Repair,Premium,247,75% of Apple price (25% reduction)
Apple,iPhone,16 Series,iPhone 16 Plus,Screen Repair,Economy,220,67% of Apple price (33% reduction)
Apple,iPhone,16 Series,iPhone 16 Plus,Battery Replacement,OEM,99,Apple out-of-warranty pricing
Apple,iPhone,16 Series,iPhone 16 Plus,Battery Replacement,Premium,74,75% of Apple price (25% reduction)
Apple,iPhone,16 Series,iPhone 16 Plus,Battery Replacement,Economy,66,67% of Apple price (33% reduction)
Apple,iPhone,16 Series,iPhone 16 Plus,Back Glass,Single,159,Single pricing
Apple,iPhone,16 Series,iPhone 16 Plus,Screen & Back Glass,Single,429,Single pricing
Apple,iPhone,16 Series,iPhone 16 Plus,Rear Camera Module,Single,229,Single pricing
Apple,iPhone,16 Series,iPhone 16 Plus,Rear Camera Glass,Single,149,Single pricing
Apple,iPhone,16 Series,iPhone 16 Plus,Charger Port Repair,Single,179,Single pricing
Apple,iPhone,16 Series,iPhone 16 Plus,Charger Port Cleaning,Single,49,Single pricing
Apple,iPhone,16 Series,iPhone 16,Screen Repair,OEM,279,Apple out-of-warranty pricing
Apple,iPhone,16 Series,iPhone 16,Screen Repair,Premium,209,75% of Apple price (25% reduction)
Apple,iPhone,16 Series,iPhone 16,Screen Repair,Economy,187,67% of Apple price (33% reduction)
Apple,iPhone,16 Series,iPhone 16,Battery Replacement,OEM,99,Apple out-of-warranty pricing
Apple,iPhone,16 Series,iPhone 16,Battery Replacement,Premium,74,75% of Apple price (25% reduction)
Apple,iPhone,16 Series,iPhone 16,Battery Replacement,Economy,66,67% of Apple price (33% reduction)
Apple,iPhone,16 Series,iPhone 16,Back Glass,Single,159,Single pricing
Apple,iPhone,16 Series,iPhone 16,Screen & Back Glass,Single,379,Single pricing
Apple,iPhone,16 Series,iPhone 16,Rear Camera Module,Single,229,Single pricing
Apple,iPhone,16 Series,iPhone 16,Rear Camera Glass,Single,149,Single pricing
Apple,iPhone,16 Series,iPhone 16,Charger Port Repair,Single,179,Single pricing
Apple,iPhone,16 Series,iPhone 16,Charger Port Cleaning,Single,49,Single pricing
Apple,iPhone,16 Series,iPhone 16e,Screen Repair,OEM,229,Apple out-of-warranty pricing
Apple,iPhone,16 Series,iPhone 16e,Screen Repair,Premium,172,75% of Apple price (25% reduction)
Apple,iPhone,16 Series,iPhone 16e,Screen Repair,Economy,153,67% of Apple price (33% reduction)
Apple,iPhone,16 Series,iPhone 16e,Battery Replacement,OEM,99,Apple out-of-warranty pricing
Apple,iPhone,16 Series,iPhone 16e,Battery Replacement,Premium,74,75% of Apple price (25% reduction)
Apple,iPhone,16 Series,iPhone 16e,Battery Replacement,Economy,66,67% of Apple price (33% reduction)
Apple,iPhone,16 Series,iPhone 16e,Back Glass,Single,159,Single pricing
Apple,iPhone,16 Series,iPhone 16e,Screen & Back Glass,Single,329,Single pricing
Apple,iPhone,16 Series,iPhone 16e,Rear Camera Module,Single,229,Single pricing
Apple,iPhone,16 Series,iPhone 16e,Rear Camera Glass,Single,149,Single pricing
Apple,iPhone,16 Series,iPhone 16e,Charger Port Repair,Single,179,Single pricing
Apple,iPhone,16 Series,iPhone 16e,Charger Port Cleaning,Single,49,Single pricing
Apple,iPhone,15 Series,iPhone 15 Pro Max,Screen Repair,OEM,379,Apple out-of-warranty pricing
Apple,iPhone,15 Series,iPhone 15 Pro Max,Screen Repair,Premium,284,75% of Apple price (25% reduction)
Apple,iPhone,15 Series,iPhone 15 Pro Max,Screen Repair,Economy,254,67% of Apple price (33% reduction)
Apple,iPhone,15 Series,iPhone 15 Pro Max,Battery Replacement,OEM,99,Apple out-of-warranty pricing
Apple,iPhone,15 Series,iPhone 15 Pro Max,Battery Replacement,Premium,74,75% of Apple price (25% reduction)
Apple,iPhone,15 Series,iPhone 15 Pro Max,Battery Replacement,Economy,66,67% of Apple price (33% reduction)
Apple,iPhone,15 Series,iPhone 15 Pro Max,Back Glass,Single,159,Single pricing
Apple,iPhone,15 Series,iPhone 15 Pro Max,Screen & Back Glass,Single,479,Single pricing
Apple,iPhone,15 Series,iPhone 15 Pro Max,Rear Camera Module,Single,229,Single pricing
Apple,iPhone,15 Series,iPhone 15 Pro Max,Rear Camera Glass,Single,149,Single pricing
Apple,iPhone,15 Series,iPhone 15 Pro Max,Charger Port Repair,Single,179,Single pricing
Apple,iPhone,15 Series,iPhone 15 Pro Max,Charger Port Cleaning,Single,49,Single pricing
Apple,iPhone,15 Series,iPhone 15 Pro,Screen Repair,OEM,329,Apple out-of-warranty pricing
Apple,iPhone,15 Series,iPhone 15 Pro,Screen Repair,Premium,247,75% of Apple price (25% reduction)
Apple,iPhone,15 Series,iPhone 15 Pro,Screen Repair,Economy,220,67% of Apple price (33% reduction)
Apple,iPhone,15 Series,iPhone 15 Pro,Battery Replacement,OEM,99,Apple out-of-warranty pricing
Apple,iPhone,15 Series,iPhone 15 Pro,Battery Replacement,Premium,74,75% of Apple price (25% reduction)
Apple,iPhone,15 Series,iPhone 15 Pro,Battery Replacement,Economy,66,67% of Apple price (33% reduction)
Apple,iPhone,15 Series,iPhone 15 Pro,Back Glass,Single,159,Single pricing
Apple,iPhone,15 Series,iPhone 15 Pro,Screen & Back Glass,Single,429,Single pricing
Apple,iPhone,15 Series,iPhone 15 Pro,Rear Camera Module,Single,229,Single pricing
Apple,iPhone,15 Series,iPhone 15 Pro,Rear Camera Glass,Single,149,Single pricing
Apple,iPhone,15 Series,iPhone 15 Pro,Charger Port Repair,Single,179,Single pricing
Apple,iPhone,15 Series,iPhone 15 Pro,Charger Port Cleaning,Single,49,Single pricing
Apple,iPhone,15 Series,iPhone 15 Plus,Screen Repair,OEM,329,Apple out-of-warranty pricing
Apple,iPhone,15 Series,iPhone 15 Plus,Screen Repair,Premium,247,75% of Apple price (25% reduction)
Apple,iPhone,15 Series,iPhone 15 Plus,Screen Repair,Economy,220,67% of Apple price (33% reduction)
Apple,iPhone,15 Series,iPhone 15 Plus,Battery Replacement,OEM,99,Apple out-of-warranty pricing
Apple,iPhone,15 Series,iPhone 15 Plus,Battery Replacement,Premium,74,75% of Apple price (25% reduction)
Apple,iPhone,15 Series,iPhone 15 Plus,Battery Replacement,Economy,66,67% of Apple price (33% reduction)
Apple,iPhone,15 Series,iPhone 15 Plus,Back Glass,Single,159,Single pricing
Apple,iPhone,15 Series,iPhone 15 Plus,Screen & Back Glass,Single,429,Single pricing
Apple,iPhone,15 Series,iPhone 15 Plus,Rear Camera Module,Single,229,Single pricing
Apple,iPhone,15 Series,iPhone 15 Plus,Rear Camera Glass,Single,149,Single pricing
Apple,iPhone,15 Series,iPhone 15 Plus,Charger Port Repair,Single,179,Single pricing
Apple,iPhone,15 Series,iPhone 15 Plus,Charger Port Cleaning,Single,49,Single pricing
Apple,iPhone,15 Series,iPhone 15,Screen Repair,OEM,279,Apple out-of-warranty pricing
Apple,iPhone,15 Series,iPhone 15,Screen Repair,Premium,209,75% of Apple price (25% reduction)
Apple,iPhone,15 Series,iPhone 15,Screen Repair,Economy,187,67% of Apple price (33% reduction)
Apple,iPhone,15 Series,iPhone 15,Battery Replacement,OEM,99,Apple out-of-warranty pricing
Apple,iPhone,15 Series,iPhone 15,Battery Replacement,Premium,74,75% of Apple price (25% reduction)
Apple,iPhone,15 Series,iPhone 15,Battery Replacement,Economy,66,67% of Apple price (33% reduction)
Apple,iPhone,15 Series,iPhone 15,Back Glass,Single,159,Single pricing
Apple,iPhone,15 Series,iPhone 15,Screen & Back Glass,Single,379,Single pricing
Apple,iPhone,15 Series,iPhone 15,Rear Camera Module,Single,229,Single pricing
Apple,iPhone,15 Series,iPhone 15,Rear Camera Glass,Single,149,Single pricing
Apple,iPhone,15 Series,iPhone 15,Charger Port Repair,Single,179,Single pricing
Apple,iPhone,15 Series,iPhone 15,Charger Port Cleaning,Single,49,Single pricing
Apple,iPhone,14 Series,iPhone 14 Pro Max,Screen Repair,OEM,379,Apple out-of-warranty pricing
Apple,iPhone,14 Series,iPhone 14 Pro Max,Screen Repair,Premium,284,75% of Apple price (25% reduction)
Apple,iPhone,14 Series,iPhone 14 Pro Max,Screen Repair,Economy,254,67% of Apple price (33% reduction)
Apple,iPhone,14 Series,iPhone 14 Pro Max,Battery Replacement,OEM,99,Apple out-of-warranty pricing
Apple,iPhone,14 Series,iPhone 14 Pro Max,Battery Replacement,Premium,74,75% of Apple price (25% reduction)
Apple,iPhone,14 Series,iPhone 14 Pro Max,Battery Replacement,Economy,66,67% of Apple price (33% reduction)
Apple,iPhone,14 Series,iPhone 14 Pro Max,Back Glass,Single,179,Single pricing
Apple,iPhone,14 Series,iPhone 14 Pro Max,Screen & Back Glass,Single,499,Single pricing
Apple,iPhone,14 Series,iPhone 14 Pro Max,Rear Camera Module,Single,229,Single pricing
Apple,iPhone,14 Series,iPhone 14 Pro Max,Rear Camera Glass,Single,149,Single pricing
Apple,iPhone,14 Series,iPhone 14 Pro Max,Charger Port Repair,Single,179,Single pricing
Apple,iPhone,14 Series,iPhone 14 Pro Max,Charger Port Cleaning,Single,49,Single pricing
Apple,iPhone,14 Series,iPhone 14 Pro,Screen Repair,OEM,329,Apple out-of-warranty pricing
Apple,iPhone,14 Series,iPhone 14 Pro,Screen Repair,Premium,247,75% of Apple price (25% reduction)
Apple,iPhone,14 Series,iPhone 14 Pro,Screen Repair,Economy,220,67% of Apple price (33% reduction)
Apple,iPhone,14 Series,iPhone 14 Pro,Battery Replacement,OEM,99,Apple out-of-warranty pricing
Apple,iPhone,14 Series,iPhone 14 Pro,Battery Replacement,Premium,74,75% of Apple price (25% reduction)
Apple,iPhone,14 Series,iPhone 14 Pro,Battery Replacement,Economy,66,67% of Apple price (33% reduction)
Apple,iPhone,14 Series,iPhone 14 Pro,Back Glass,Single,159,Single pricing
Apple,iPhone,14 Series,iPhone 14 Pro,Screen & Back Glass,Single,429,Single pricing
Apple,iPhone,14 Series,iPhone 14 Pro,Rear Camera Module,Single,229,Single pricing
Apple,iPhone,14 Series,iPhone 14 Pro,Rear Camera Glass,Single,149,Single pricing
Apple,iPhone,14 Series,iPhone 14 Pro,Charger Port Repair,Single,179,Single pricing
Apple,iPhone,14 Series,iPhone 14 Pro,Charger Port Cleaning,Single,49,Single pricing
Apple,iPhone,14 Series,iPhone 14 Plus,Screen Repair,OEM,329,Apple out-of-warranty pricing
Apple,iPhone,14 Series,iPhone 14 Plus,Screen Repair,Premium,247,75% of Apple price (25% reduction)
Apple,iPhone,14 Series,iPhone 14 Plus,Screen Repair,Economy,220,67% of Apple price (33% reduction)
Apple,iPhone,14 Series,iPhone 14 Plus,Battery Replacement,OEM,99,Apple out-of-warranty pricing
Apple,iPhone,14 Series,iPhone 14 Plus,Battery Replacement,Premium,74,75% of Apple price (25% reduction)
Apple,iPhone,14 Series,iPhone 14 Plus,Battery Replacement,Economy,66,67% of Apple price (33% reduction)
Apple,iPhone,14 Series,iPhone 14 Plus,Back Glass,Single,159,Single pricing
Apple,iPhone,14 Series,iPhone 14 Plus,Screen & Back Glass,Single,429,Single pricing
Apple,iPhone,14 Series,iPhone 14 Plus,Rear Camera Module,Single,229,Single pricing
Apple,iPhone,14 Series,iPhone 14 Plus,Rear Camera Glass,Single,149,Single pricing
Apple,iPhone,14 Series,iPhone 14 Plus,Charger Port Repair,Single,179,Single pricing
Apple,iPhone,14 Series,iPhone 14 Plus,Charger Port Cleaning,Single,49,Single pricing
Apple,iPhone,14 Series,iPhone 14,Screen Repair,OEM,279,Apple out-of-warranty pricing
Apple,iPhone,14 Series,iPhone 14,Screen Repair,Premium,209,75% of Apple price (25% reduction)
Apple,iPhone,14 Series,iPhone 14,Screen Repair,Economy,187,67% of Apple price (33% reduction)
Apple,iPhone,14 Series,iPhone 14,Battery Replacement,OEM,99,Apple out-of-warranty pricing
Apple,iPhone,14 Series,iPhone 14,Battery Replacement,Premium,74,75% of Apple price (25% reduction)
Apple,iPhone,14 Series,iPhone 14,Battery Replacement,Economy,66,67% of Apple price (33% reduction)
Apple,iPhone,14 Series,iPhone 14,Back Glass,Single,159,Single pricing
